software_id	project	repository	reviewed_material	effective_input_or_function	ligand_3d_status	licence_observed	reproducibility_notes	reuse_decision	accessed
SW-001	gMolAI v2.0	https://github.com/Jalil-Mahdizadeh/gMolAI-v2.0	README and src/gmolai_retrain/model.py	SMILES-derived 2D GINE with atom states and calibrated 384-dimensional global representation	none in reviewed core path	no clear root licence found	checkpoint calibrator schema atom order and source revision must be pinned	resolve licence then use behind adapter	2026-08-20
SW-002	BANANA	https://github.com/molecularmodelinglab/banana	README featurization model and inference paths	pocket PDB plus ligand SMILES/2D graph	none	MIT	input boundary directly matches strict task; pin environment and model revision	reproduce as mandatory baseline	2026-08-20
SW-003	BigBind	https://github.com/molecularmodelinglab/bigbind	README mapping split and BayesBind assets	ChEMBL activities mapped to CrossDocked pocket clusters	no query pose required for mapped records	MIT	source data licences and CrossDocked/PDB artifacts propagate	adapt mapping and benchmark logic	2026-08-20
SW-004	CASTER-DTA	https://github.com/rachitk/caster-dta	README graph preprocessing model and licence text	apo/predicted whole-protein GVP graph plus 2D molecular graph	none	custom research/academic or non-commercial terms observed	dynamic batching and structure acquisition are material; exact release must be pinned	clean-room protocol baseline unless cleared	2026-08-20
SW-005	3DProtDTA	https://github.com/receptor-ai/3d-prot-dta	README and model/data paths	residue 3D protein graph plus ligand graph or ECFP	none	no clear root licence found	small repository and narrow benchmarks; preprocessing must be independently verified	reimplement simple late-fusion concept	2026-08-20
SW-006	HoloProt	https://github.com/vsomnath/holoprot	README model and preprocessing documentation	hierarchical protein surface/structure plus molecular graph	none for affinity ligand branch	MIT	requires PDBFixer DSSP MSMS Blender PDB2PQR/APBS and related tools	reuse selected components only after toolchain pilot	2026-08-20
SW-007	PLANET	https://github.com/ComputArtCMCG/PLANET	README PLANET_model.py and preprocessing/training paths	protein pocket PDB plus graph ligand; multitask contacts/distances	training uses ligand/complex 3D-derived targets	no clear root licence found	source exposes ProteinEGNN LigandGAT and interaction modules	conceptual privileged comparator only	2026-08-20
SW-008	PLANET v2.0	https://www.pdbbind-plus.org.cn/planetv2	project site and linked preprint	probabilistic pocket-ligand contact/distance energy	current classification pending final source/site terms to verify	code availability and licence not yet stable	recent evolving preprint; re-audit before architecture freeze	surveillance only	2026-08-20
SW-009	GRIPHIN	https://github.com/molinfo-vienna/GRIPHIN	README data/model/grid paths	10-channel GRAIL pocket grid plus ligand GAT/coordinate encoding	ligand Cartesian/Fourier features and ligand-centred construction	MIT	input SD files and ligand-centred grid are strict-boundary violations	receptor pharmacophore inspiration only	2026-08-20
SW-010	T-ALPHA	https://github.com/gregory-kyro/T-ALPHA	README model/data paths	protein ligand and complex multimodal channels	ligand and complex 3D	MIT	heavy surface/equivariant stack and LP-PDBbind/BDB2020+ protocols	censoring/uncertainty concepts only	2026-08-20
SW-011	TankBind	https://github.com/luwei0917/TankBind	README preprocessing model and pose paths	protein blocks ligand graph and pairwise distance prediction	ligand conformer/internal distances and pose optimization	MIT	well-documented but solves binding pose rather than strict task	pair-tensor inspiration only	2026-08-20
SW-012	DrugCLIP	https://github.com/bowen-gao/DrugCLIP	README LMDB format and model description	3D pocket and Uni-Mol-style molecule representation	RDKit conformers included in reviewed molecule data	licence/transitive weight terms require pinning	pretrained data and weights are large and coordinate-bearing	non-core comparator	2026-08-20
SW-013	ProFSA	https://github.com/bowen-gao/ProFSA	README pretraining data and model paths	fragment-surrounding pseudo-complex pretraining	pseudo-complex fragment geometry	MIT	large derived pretraining corpus; source data lineage must be audited	pocket-pretraining inspiration only	2026-08-20
SW-014	PocketDTA	https://github.com/ZhaoLongSYSU/PocketDTA	README model and dependency descriptions	top predicted pockets plus ESM/GVP and GraphMVP ligand	GraphMVP pretraining incorporates ligand 3D	MIT	DoGSite3 and pretrained component terms must be audited	non-strict comparator	2026-08-20
SW-015	DTBind	https://github.com/liqy09/DTBind	README data and surface/interaction preprocessing	protein surface/complex input for affinity mode	complex ligand geometry	licence must be pinned at selected revision	MSMS PyMesh PLIP-style dependencies add operational risk	surface inspiration only	2026-08-20
SW-016	GEMS	https://github.com/camlab-ethz/GEMS	README CleanSplit JSON filtering code similarity matrices and search baseline	complex model plus PDBbind leakage-analysis toolkit	complex geometry for model; split tools separate	licence must be pinned at selected revision	PDBbind_data/PDBbind_data_split_cleansplit.json and search baseline are directly useful	use official split/filter audit assets subject to rights	2026-08-20
SW-017	LP-PDBBind	https://github.com/THGLab/LP-PDBBind	README and dataset/LP_PDBBind.csv	PDBbind metadata split by protein/ligand similarity	co-complex source but split metadata usable	licence must be pinned; source PDBbind terms propagate	contains IDs categories clean levels covalency SMILES sequence and affinity	use official protocol unchanged plus independent audit	2026-08-20
SW-018	DataSAIL	https://github.com/kalininalab/DataSAIL	README CLI and two-dimensional PDBbind example	similarity-aware split optimization for interacting entity pairs	not applicable	repository licence to pin before dependency	requires explicit similarity inputs and can discard interactions to satisfy constraints	use as independent split implementation/audit	2026-08-20
SW-019	NTAB	https://github.com/bamattsson/ntab	README build/evaluation and ligand-only baseline paths	ChEMBL36 time split with ligand novelty bins	not applicable	MIT code; ChEMBL-derived data CC BY-SA 3.0	new June 2026 preprint resource with reproducible Zenodo deposit	use as preliminary leakage stress test	2026-08-20
SW-020	GVP-PyTorch	https://github.com/drorlab/gvp-pytorch	README and model API	scalar/vector equivariant protein graphs	not applicable	MIT	stable compact encoder; verify maintenance and numerical invariance	pocket encoder candidate	2026-08-20
SW-021	GearNet	https://github.com/DeepGraphLearning/GearNet	README model and pretraining interfaces	relational protein structure graph	not applicable	licence to pin with TorchDrug dependencies	pretrained assets and transitive package versions require audit	alternative pocket encoder	2026-08-20
SW-022	ProteinWorkshop	https://github.com/a-r-j/ProteinWorkshop	README configuration and benchmark framework	configurable protein geometric encoders	not applicable	licence/transitive components to pin	broad framework may reduce implementation work but increases dependency surface	evaluate after v0	2026-08-20
SW-023	MaSIF	https://github.com/LPDI-EPFL/masif	README preprocessing and model paths	protein molecular surface mesh/patches	not applicable	Apache-2.0	external MSMS APBS/PDB2PQR/PyMesh-style stack needs separate terms and container	deferred optional surface branch	2026-08-20
SW-024	dMaSIF	https://github.com/FreyrS/dMaSIF	README model and licence	protein point/surface representation	not applicable	CC BY-NC-ND 4.0 observed	restrictive terms are unsuitable for ordinary code modification/redistribution without advice	architecture inspiration only	2026-08-20
SW-025	ScanNet	https://github.com/jertubiana/ScanNet	README feature/model paths	local atomic/residue geometric neighbourhoods	not applicable	licence to pin at selected revision	pretrained models and structure preprocessing need independent terms	geometric primitive inspiration	2026-08-20
SW-026	P2Rank	https://github.com/rdk/p2rank	README command interface model profiles and licence	receptor-only top-k ligand-binding site prediction	not applicable	MIT	Java distribution and model version/profile must be pinned	preferred Mode B detector	2026-08-20
SW-027	fpocket	https://github.com/Discngine/fpocket	README CLI and licence	receptor-only alpha-sphere pocket detection	not applicable	MIT	compile/container and version must be pinned	classical Mode B detector	2026-08-20
SW-028	DeepPocket	https://github.com/devalab/DeepPocket	README training/inference and candidate pipeline	receptor candidate generation plus 3D CNN rescoring	not applicable	licence to pin at selected revision	more complex learned detector with training-data dependence	optional detector	2026-08-20
SW-029	PSICHIC	https://github.com/huankoh/PSICHIC	README model/inference and licence	protein sequence plus ligand 2D representation	none	Apache-2.0	strong modern sequence-only model; checkpoint/source hashes required	mandatory sequence baseline candidate	2026-08-20
