context	split	fold	model	parameter	chosen_value	inner_component_scores_json	train_observations	test_observations	inner_grouping
full	union_component_leave_one_out	component-01	nuisance_ridge	ridge_alpha	100.0	"[{""alpha"":0.01,""inner_rmse"":1.4064037995639078},{""alpha"":0.1,""inner_rmse"":1.4055943042877108},{""alpha"":1.0,""inner_rmse"":1.3978872864800282},{""alpha"":10.0,""inner_rmse"":1.348325191490187},{""alpha"":100.0,""inner_rmse"":1.3273983775134697},{""alpha"":1000.0,""inner_rmse"":1.415382441177975}]"	267	4	frozen_union_component
full	union_component_leave_one_out	component-01	ligand_ecfp_ridge	ridge_alpha	1000.0	"[{""alpha"":0.01,""inner_rmse"":1.5383654449098578},{""alpha"":0.1,""inner_rmse"":1.5383350444615365},{""alpha"":1.0,""inner_rmse"":1.5380925169350963},{""alpha"":10.0,""inner_rmse"":1.5366427944596843},{""alpha"":100.0,""inner_rmse"":1.52113318498461},{""alpha"":1000.0,""inner_rmse"":1.4609949393458452}]"	267	4	frozen_union_component
full	union_component_leave_one_out	component-01	ligand_gmolai_ridge	ridge_alpha	1000.0	"[{""alpha"":0.01,""inner_rmse"":2.7578078273295095},{""alpha"":0.1,""inner_rmse"":2.4600094591743935},{""alpha"":1.0,""inner_rmse"":2.1624722011780984},{""alpha"":10.0,""inner_rmse"":1.8956734371252828},{""alpha"":100.0,""inner_rmse"":1.6506447087902842},{""alpha"":1000.0,""inner_rmse"":1.4319786545615192}]"	267	4	frozen_union_component
full	union_component_leave_one_out	component-01	pocket_ridge_S0	ridge_alpha	1000.0	"[{""alpha"":0.01,""inner_rmse"":4.45449488912132},{""alpha"":0.1,""inner_rmse"":2.8015033222328505},{""alpha"":1.0,""inner_rmse"":2.1455049387870386},{""alpha"":10.0,""inner_rmse"":1.6037915904151605},{""alpha"":100.0,""inner_rmse"":1.3858963718094321},{""alpha"":1000.0,""inner_rmse"":1.373873669942692}]"	267	4	frozen_union_component
full	union_component_leave_one_out	component-01	pocket_ridge_S1	ridge_alpha	1000.0	"[{""alpha"":0.01,""inner_rmse"":3.4181637458964715},{""alpha"":0.1,""inner_rmse"":2.965056465185665},{""alpha"":1.0,""inner_rmse"":2.1130646737228327},{""alpha"":10.0,""inner_rmse"":1.5763319691670372},{""alpha"":100.0,""inner_rmse"":1.381952264367887},{""alpha"":1000.0,""inner_rmse"":1.375415036759873}]"	267	4	frozen_union_component
full	union_component_leave_one_out	component-01	sequence_esm2_ridge	ridge_alpha	1000.0	"[{""alpha"":0.01,""inner_rmse"":7.709285261246468},{""alpha"":0.1,""inner_rmse"":7.073237310202167},{""alpha"":1.0,""inner_rmse"":4.954593347537387},{""alpha"":10.0,""inner_rmse"":2.9421868565717704},{""alpha"":100.0,""inner_rmse"":1.930544023248287},{""alpha"":1000.0,""inner_rmse"":1.652249832288578}]"	267	4	frozen_union_component
full	union_component_leave_one_out	component-01	ecfp_esm2_additive	ridge_alpha	1000.0	"[{""alpha"":0.01,""inner_rmse"":1.5563361804152176},{""alpha"":0.1,""inner_rmse"":1.557396460814378},{""alpha"":1.0,""inner_rmse"":1.5597323754098429},{""alpha"":10.0,""inner_rmse"":1.5637497105718452},{""alpha"":100.0,""inner_rmse"":1.5650737051723633},{""alpha"":1000.0,""inner_rmse"":1.52718678858369}]"	267	4	frozen_union_component
full	union_component_leave_one_out	component-01	gmolai_esm2_additive	ridge_alpha	1000.0	"[{""alpha"":0.01,""inner_rmse"":3.0243344109195376},{""alpha"":0.1,""inner_rmse"":2.6793403020040265},{""alpha"":1.0,""inner_rmse"":2.3287658416754526},{""alpha"":10.0,""inner_rmse"":2.117885151164516},{""alpha"":100.0,""inner_rmse"":1.8314895552621784},{""alpha"":1000.0,""inner_rmse"":1.5286017522581958}]"	267	4	frozen_union_component
full	union_component_leave_one_out	component-01	ecfp_pocket_additive_S1	ridge_alpha	1000.0	"[{""alpha"":0.01,""inner_rmse"":1.48015338893558},{""alpha"":0.1,""inner_rmse"":1.4798768645517857},{""alpha"":1.0,""inner_rmse"":1.4775039130289094},{""alpha"":10.0,""inner_rmse"":1.4670710956981476},{""alpha"":100.0,""inner_rmse"":1.4460556197314862},{""alpha"":1000.0,""inner_rmse"":1.4079401234163997}]"	267	4	frozen_union_component
full	union_component_leave_one_out	component-01	ecfp_pocket_tensor_S1	ridge_alpha	1000.0	"[{""alpha"":0.01,""inner_rmse"":1.478334638348678},{""alpha"":0.1,""inner_rmse"":1.4781052241174817},{""alpha"":1.0,""inner_rmse"":1.4761132336372293},{""alpha"":10.0,""inner_rmse"":1.4667438462960758},{""alpha"":100.0,""inner_rmse"":1.4458125472211834},{""alpha"":1000.0,""inner_rmse"":1.4076633039887672}]"	267	4	frozen_union_component
full	union_component_leave_one_out	component-01	ecfp_esm2_pocket_additive_S1	ridge_alpha	1000.0	"[{""alpha"":0.01,""inner_rmse"":1.5096976890448541},{""alpha"":0.1,""inner_rmse"":1.5097056552009613},{""alpha"":1.0,""inner_rmse"":1.5097854038253582},{""alpha"":10.0,""inner_rmse"":1.510150815214625},{""alpha"":100.0,""inner_rmse"":1.507522512531408},{""alpha"":1000.0,""inner_rmse"":1.4832203047156645}]"	267	4	frozen_union_component
full	union_component_leave_one_out	component-01	ecfp_esm2_pocket_tensor_S1	ridge_alpha	1000.0	"[{""alpha"":0.01,""inner_rmse"":1.5048887211689475},{""alpha"":0.1,""inner_rmse"":1.504893692046549},{""alpha"":1.0,""inner_rmse"":1.5049502544839377},{""alpha"":10.0,""inner_rmse"":1.5052554604492834},{""alpha"":100.0,""inner_rmse"":1.5026034144190126},{""alpha"":1000.0,""inner_rmse"":1.4794337827574573}]"	267	4	frozen_union_component
full	union_component_leave_one_out	component-01	ecfp_esm2_permuted_pocket_tensor_S1	ridge_alpha	1000.0	"[{""alpha"":0.01,""inner_rmse"":1.5453056441575366},{""alpha"":0.1,""inner_rmse"":1.545314754756559},{""alpha"":1.0,""inner_rmse"":1.5454923987105977},{""alpha"":10.0,""inner_rmse"":1.5484033307280292},{""alpha"":100.0,""inner_rmse"":1.5557170093506132},{""alpha"":1000.0,""inner_rmse"":1.5277604707986563}]"	267	4	frozen_union_component
full	union_component_leave_one_out	component-01	gmolai_esm2_pocket_additive_S1	ridge_alpha	1000.0	"[{""alpha"":0.01,""inner_rmse"":2.768312972817507},{""alpha"":0.1,""inner_rmse"":2.509996954136252},{""alpha"":1.0,""inner_rmse"":2.18935080263799},{""alpha"":10.0,""inner_rmse"":1.9306465590865851},{""alpha"":100.0,""inner_rmse"":1.7219163576527563},{""alpha"":1000.0,""inner_rmse"":1.4831702492052525}]"	267	4	frozen_union_component
