dataset_id	resource	reviewed_release_or_snapshot	recommended_role	label_type	protein_structure_and_site	reported_scale	access_and_licence	key_caveat	decision	primary_source	accessed
DS-001	PDBbind+	2025 released 2026-02-08	structural supervised core	Kd Ki IC50 and curated affinity variants	co-complex receptor and ligand site	29001 protein-ligand complexes on current site	commercial/subscription terms	selection bias redundancy mixed endpoints holo privilege and redistribution restrictions	use only after institutional agreement	https://pdbbind-plus.org.cn/	2026-08-20
DS-002	PDBbind	v2020R1	legacy/free-registration structural core	curated affinity	co-complex receptor and ligand site	release-specific	site advertises free download after registration; terms still govern	not automatically redistributable and strongly overlaps CASF	use licensed local copy with full manifest	https://pdbbind-plus.org.cn/	2026-08-20
DS-003	PDBbind CleanSplit	GEMS artifact as accessed	required leakage protocol	PDBbind affinity	co-complex and structure-based filtering	release/filter-specific	GEMS code/Zenodo metadata; underlying PDBbind terms persist	designed around CASF and one threshold policy; not universal proof	reproduce exactly plus independent audit	https://doi.org/10.5281/zenodo.14260170	2026-08-20
DS-004	LP-PDBbind	peer-reviewed 2026 split	required leakage protocol	PDBbind affinity	co-complex; protein sequence/structure and ligand split	11513 train 2422 validation 4860 test in commonly reported protocol	metadata public; underlying PDBbind terms persist	thresholds define one generalization regime and tiers must be retained	reproduce exactly plus continuous similarity audit	https://doi.org/10.1021/acs.jpcb.5c08598	2026-08-20
DS-005	BDB2020+	LP-PDBbind companion	time-forward structural check	high-quality BindingDB affinity mapped to post-2020 PDB structures	co-complex/recent structures	115 examples reported in related downstream use	source/component terms require audit	small and potentially used by recent method development	external secondary check	https://github.com/THGLab/LP-PDBBind	2026-08-20
DS-006	PDBbind-Opt	current deposited/workflow version	quality sensitivity	PDBbind-derived affinity	quality-repaired co-complexes	release-specific	source PDBbind terms plus workflow terms	quality selection can change distribution and remains derivative	compare with unoptimized core	https://arxiv.org/abs/2411.01223	2026-08-20
DS-007	HiQBind	current workflow/deposit	quality/open structural complement	curated affinity	quality-fixed co-complexes	release-specific	verify record and structure rights	manual/automated corrections and selection require provenance	use after rights/schema audit	https://github.com/THGLab/HiQBind	2026-08-20
DS-008	BioLiP2-Opt	Figshare version 1 2025-02-03	open structural complement	mapped binding affinities	co-complex sites	over 3000 PDB entries and over 5600 complexes at deposit	CC BY 4.0 shown on deposit; inspect upstream lineage	smaller optimized selected set and source overlap	priority open feasibility set	https://figshare.com/articles/dataset/BioLiP2-Opt_Dataset/27430305/1	2026-08-20
DS-009	PLINDER	2024-06/v2	structure/pocket pretraining and conformation evaluation	affinity field prohibited until corrected	holo systems with linked apo and predicted structures	over 400k systems and over 50k unique small molecules	curated data Apache-2.0; software GPL-2.0; upstream terms propagate	ligand_binding_affinity disabled/incorrect per open issue 94	use structures similarities splits and links only	https://github.com/plinder-org/plinder	2026-08-20
DS-010	BigBind	paper/GitHub reviewed version	scalable pose-free activity training	activities/pChEMBL-derived thresholds	activities mapped to 1107 CrossDocked pockets	582957 activities and 399090 compounds in paper	MIT code; ChEMBL/CrossDocked/PDB terms propagate	mapping confidence and putative-negative uncertainty	use for BANANA and weak supervision	https://doi.org/10.1021/acs.jcim.3c01211	2026-08-20
