split	fold	model	chosen_alpha	inner_scores_json
union_component_leave_one_out	component-01	nuisance_ridge	100.0	"[{""alpha"":0.01,""inner_rmse"":1.7486687501619746},{""alpha"":0.1,""inner_rmse"":1.7477653906579083},{""alpha"":1.0,""inner_rmse"":1.7392266089219799},{""alpha"":10.0,""inner_rmse"":1.6815015514623153},{""alpha"":100.0,""inner_rmse"":1.526450771618042}]"
union_component_leave_one_out	component-01	ligand_ecfp_ridge	1.0	"[{""alpha"":0.01,""inner_rmse"":1.3337087352392605},{""alpha"":0.1,""inner_rmse"":1.3337077583335568},{""alpha"":1.0,""inner_rmse"":1.3337013711146348},{""alpha"":10.0,""inner_rmse"":1.3339134715420335},{""alpha"":100.0,""inner_rmse"":1.3431231580937073}]"
union_component_leave_one_out	component-01	ligand_gmolai_ridge	100.0	"[{""alpha"":0.01,""inner_rmse"":2.4659127771467224},{""alpha"":0.1,""inner_rmse"":2.230585729462104},{""alpha"":1.0,""inner_rmse"":1.9402014614528953},{""alpha"":10.0,""inner_rmse"":1.8855002533013583},{""alpha"":100.0,""inner_rmse"":1.626182809874561}]"
union_component_leave_one_out	component-01	protein_sequence_ridge	100.0	"[{""alpha"":0.01,""inner_rmse"":1.4432201934681834},{""alpha"":0.1,""inner_rmse"":1.4432201111299765},{""alpha"":1.0,""inner_rmse"":1.4432192878350298},{""alpha"":10.0,""inner_rmse"":1.4432110635958448},{""alpha"":100.0,""inner_rmse"":1.4431296899345665}]"
union_component_leave_one_out	component-01	concat_ecfp_sequence_ridge	0.01	"[{""alpha"":0.01,""inner_rmse"":1.2236620681262644},{""alpha"":0.1,""inner_rmse"":1.2236854365032228},{""alpha"":1.0,""inner_rmse"":1.2239196058643205},{""alpha"":10.0,""inner_rmse"":1.2262885644776773},{""alpha"":100.0,""inner_rmse"":1.2477726170092254}]"
union_component_leave_one_out	component-01	pocket_composition_ridge_S0	100.0	"[{""alpha"":0.01,""inner_rmse"":4.401037041821507},{""alpha"":0.1,""inner_rmse"":4.2927231582058205},{""alpha"":1.0,""inner_rmse"":2.617188050060138},{""alpha"":10.0,""inner_rmse"":1.6770370434033472},{""alpha"":100.0,""inner_rmse"":1.651882963113036}]"
union_component_leave_one_out	component-01	pocket_structure_ridge_S0	10.0	"[{""alpha"":0.01,""inner_rmse"":7.348366250658936},{""alpha"":0.1,""inner_rmse"":4.066199114422853},{""alpha"":1.0,""inner_rmse"":2.113178167179583},{""alpha"":10.0,""inner_rmse"":1.658954562530169},{""alpha"":100.0,""inner_rmse"":1.7362163847841359}]"
union_component_leave_one_out	component-01	concat_ecfp_pocket_ridge_S0	0.01	"[{""alpha"":0.01,""inner_rmse"":1.3966937419260694},{""alpha"":0.1,""inner_rmse"":1.396741364055374},{""alpha"":1.0,""inner_rmse"":1.3972129202361678},{""alpha"":10.0,""inner_rmse"":1.4015193806010038},{""alpha"":100.0,""inner_rmse"":1.4265422602383835}]"
union_component_leave_one_out	component-01	concat_gmolai_pocket_ridge_S0	100.0	"[{""alpha"":0.01,""inner_rmse"":2.409398446074629},{""alpha"":0.1,""inner_rmse"":2.1976091113471856},{""alpha"":1.0,""inner_rmse"":1.7727221581304524},{""alpha"":10.0,""inner_rmse"":1.5791004050044308},{""alpha"":100.0,""inner_rmse"":1.459052971749675}]"
union_component_leave_one_out	component-01	pocket_composition_ridge_S1	100.0	"[{""alpha"":0.01,""inner_rmse"":1.7278432299473072},{""alpha"":0.1,""inner_rmse"":1.7277837418785191},{""alpha"":1.0,""inner_rmse"":1.7271901581199653},{""alpha"":10.0,""inner_rmse"":1.7213813872819919},{""alpha"":100.0,""inner_rmse"":1.673780151758819}]"
union_component_leave_one_out	component-01	pocket_structure_ridge_S1	100.0	"[{""alpha"":0.01,""inner_rmse"":1.7499931004164175},{""alpha"":0.1,""inner_rmse"":1.7499650404531728},{""alpha"":1.0,""inner_rmse"":1.7496847118802437},{""alpha"":10.0,""inner_rmse"":1.7469083629086355},{""alpha"":100.0,""inner_rmse"":1.7216509441623338}]"
union_component_leave_one_out	component-01	concat_ecfp_pocket_ridge_S1	0.01	"[{""alpha"":0.01,""inner_rmse"":1.421653945933528},{""alpha"":0.1,""inner_rmse"":1.421656962869813},{""alpha"":1.0,""inner_rmse"":1.42169044452873},{""alpha"":10.0,""inner_rmse"":1.4222920820978002},{""alpha"":100.0,""inner_rmse"":1.4340770887693504}]"
union_component_leave_one_out	component-01	concat_gmolai_pocket_ridge_S1	100.0	"[{""alpha"":0.01,""inner_rmse"":1.9407344970013225},{""alpha"":0.1,""inner_rmse"":1.8294386352041137},{""alpha"":1.0,""inner_rmse"":1.6859057570007614},{""alpha"":10.0,""inner_rmse"":1.592002569394483},{""alpha"":100.0,""inner_rmse"":1.4864911986798552}]"
union_component_leave_one_out	component-01	negative_pocket_permuted_concat_gmolai_S0	100.0	"[{""alpha"":0.01,""inner_rmse"":1.6827598847212617},{""alpha"":0.1,""inner_rmse"":1.6129847442418723},{""alpha"":1.0,""inner_rmse"":1.5281318456162325},{""alpha"":10.0,""inner_rmse"":1.4834101833454416},{""alpha"":100.0,""inner_rmse"":1.425342539618185}]"
